"bill","date","status","status.prev"
"hr0113-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0113-116",2019-01-15,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0113-116",2019-01-15,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0113-116",2019-01-16,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0114-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0114-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0115-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0115-116",2019-01-10,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0115-116",2019-01-10,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0115-116",2019-01-11,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0116-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0116-116",2019-01-14,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0116-116",2019-01-14,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0116-116",2019-01-15,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0117-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0117-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0118-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0119-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0119-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0120-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0120-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0121-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0121-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0122-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0123-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0123-116",2019-09-18,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0124-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0124-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0125-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0125-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0126-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0127-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0127-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0128-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0128-116",2019-01-08,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0128-116",2019-01-08,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0128-116",2019-01-09,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0129-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0130-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0130-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0131-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0131-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0132-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0132-116",2019-09-18,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0133-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0133-116",2019-01-10,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0133-116",2019-01-10,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0133-116",2019-01-11,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0134-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0135-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0135-116",2019-01-15,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0135-116",2019-01-15,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0135-116",2019-01-16,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0136-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0136-116",2019-01-15,"D. HOUSE DEBATE","A. INTRODUCTION IN HOUSE"
"hr0136-116",2019-01-15,"E. PASSED HOUSE VOTE","D. HOUSE DEBATE"
"hr0136-116",2019-01-16,"F. REFERRED TO SENATE","E. PASSED HOUSE VOTE"
"hr0137-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0138-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
