"id","introduced","official_title","passed_house","passed_senate","session","short_title","top_subject","type","bill"
"s59-116","2019-01-08 00:01:00","A bill to adjust the boundary of the Arapaho National Forest, Colorado, and for other purposes.","False","False",116,"Arapaho National Forest Boundary Adjustment Act of 2019","Public Lands and Natural Resources","s","s0059-116"
"s60-116","2019-01-09 00:01:00","A bill to withdraw certain National Forest System land in the Emigrant Crevice area located in the Custer Gallatin National Forest, Park County, Montana, from the mining and mineral leasing laws of the United States, and for other purposes.","False","False",116,"Yellowstone Gateway Protection Act","Public Lands and Natural Resources","s","s0060-116"
"s61-116","2019-01-09 00:01:00","A bill to amend the Federal Food, Drug, and Cosmetic Act to allow for the personal importation of safe and affordable drugs from approved pharmacies in Canada.","False","False",116,"Safe and Affordable Drugs from Canada Act of 2019","Health","s","s0061-116"
"s62-116","2019-01-09 00:01:00","A bill to amend title XVIII of the Social Security Act to allow the Secretary of Health and Human Services to negotiate fair prescription drug prices under part D of the Medicare program.","False","False",116,"Empowering Medicare Seniors to Negotiate Drug Prices Act of 2019","Health","s","s0062-116"
"s63-116","2019-01-09 00:01:00","A bill to implement the recommendations of the Joint Select Committee on Budget and Appropriations Process Reform.","False","False",116,"Bipartisan Budget and Appropriations Reform Act of 2019","Economics and Public Finance","s","s0063-116"
"s64-116","2019-01-09 00:01:00","A bill to prohibit brand name drug companies from compensating generic drug companies to delay the entry of a generic drug into the market, and to prohibit biological product manufacturers from compensating biosimilar and interchangeable companies to delay the entry of biosimilar biological products and interchangeable biological products.","False","False",116,"Preserve Access to Affordable Generics and Biosimilars Act","Health","s","s0064-116"
"s65-116","2019-01-09 00:01:00","A bill to amend the Federal Reserve Act to require Federal Reserve banks to interview at least one individual reflective of gender diversity and one individual reflective of racial or ethnic diversity when appointing Federal Reserve bank presidents, and for other purposes.","False","False",116,"Ensuring Diverse Leadership Act of 2019","Finance and Financial Sector","s","s0065-116"
"s68-116","2019-01-09 00:01:00","A bill to require the Medicaid and CHIP Payment and Access Commission to publish an annual report on the estimated impact in each State of the Medicaid expansion added by the Patient Protection and Affordable Care Act, including the estimated impact that adopting such expansion would have in States that have not expanded their Medicaid coverage.","False","False",116,"Smart Choices Act","Health","s","s0068-116"
"s69-116","2019-01-09 00:01:00","A bill to allow reciprocity for the carrying of certain concealed firearms.","False","False",116,"Constitutional Concealed Carry Reciprocity Act of 2019","Crime and Law Enforcement","s","s0069-116"
"s70-116","2019-01-09 00:01:00","A bill to establish the Medgar and Myrlie Evers Home National Monument in the State of Mississippi, and for other purposes.","False","False",116,"Medgar and Myrlie Evers Home National Monument Act","Public Lands and Natural Resources","s","s0070-116"
"s71-116","2019-01-09 00:01:00","A bill to ensure independent investigations and judicial review of the removal of a special counsel, and for other purposes.","False","False",116,"Special Counsel Independence and Integrity Act","Crime and Law Enforcement","s","s0071-116"
"s72-116","2019-01-09 00:01:00","A bill to suspend the enforcement of certain civil liabilities of Federal employees and contractors during a lapse in appropriations, and for other purposes.","False","False",116,"Federal Employees Civil Relief Act","Government Operations and Politics","s","s0072-116"
"s73-116","2019-01-10 00:01:00","A bill to amend the Internal Revenue Code of 1986 to deny the deduction for advertising and promotional expenses for prescription drugs.","False","False",116,"End Taxpayer Subsidies for Drug Ads Act","Taxation","s","s0073-116"
"s74-116","2019-01-10 00:01:00","A bill to prohibit paying Members of Congress during periods during which a Government shutdown is in effect, and for other purposes.","False","False",116,"No Work, No Pay Act of 2019","Congress","s","s0074-116"
"s75-116","2019-01-10 00:01:00","A bill to prohibit certain business concerns from receiving assistance from the Small Business Administration, and for other purposes.","False","False",116,"Preventing SBA Assistance from Going to China Act of 2019","Commerce","s","s0075-116"
"s76-116","2019-01-10 00:01:00","A bill to redesignate the Saint-Gaudens National Historic Site as the ""Saint-Gaudens National Historical Park"", and for other purposes.","False","False",116,"Saint-Gaudens National Historical Park Redesignation Act","Public Lands and Natural Resources","s","s0076-116"
"s77-116","2019-01-10 00:01:00","A bill to amend the Small Business Act to ensure small businesses affected by the onset of transmissible diseases are eligible for disaster relief.","False","False",116,"Small Business Relief From Disease Induced Economic Hardship Act of 2019","Commerce","s","s0077-116"
"s79-116","2019-01-10 00:01:00","A bill to authorize the Secretary of Agriculture to maintain or replace certain facilities and structures for commercial recreation services at Smith Gulch in Idaho, and for other purposes.","False","False",116,"A bill to authorize the Secretary of Agriculture to maintain or replace certain facilities and structures for commercial recreation services at Smith Gulch in Idaho, and for other purposes.","Public Lands and Natural Resources","s","s0079-116"
"s80-116","2019-01-10 00:01:00","A bill to repeal the annual fee on health insurance providers enacted by the Patient Protection and Affordable Care Act.","False","False",116,"Jobs and Premium Protection Act","Taxation","s","s0080-116"
"s81-116","2019-01-10 00:01:00","A bill to adjust the eastern boundary of the Deschutes Canyon-Steelhead Falls Wilderness Study Area in the State of Oregon, and for other purposes.","False","False",116,"Crooked River Ranch Fire Protection Act","Public Lands and Natural Resources","s","s0081-116"
"s82-116","2019-01-10 00:01:00","A bill to designate the Frank and Jeanne Moore Wild Steelhead Special Management Area in the State of Oregon.","False","False",116,"Frank and Jeanne Moore Wild Steelhead Special Management Area Designation Act","Public Lands and Natural Resources","s","s0082-116"
"s85-116","2019-01-10 00:01:00","A bill to reauthorize the Family Violence Prevention and Services Act.","False","False",116,"A bill to reauthorize the Family Violence Prevention and Services Act.","Families","s","s0085-116"
"s86-116","2019-01-10 00:01:00","A bill to designate certain land administered by the Bureau of Land Management and the Forest Service in the State of Oregon as wilderness and national recreation areas and to make additional wild and scenic river designations in the State of Oregon, and for other purposes.","False","False",116,"Oregon Wildlands Act","Public Lands and Natural Resources","s","s0086-116"
"s87-116","2019-01-10 00:01:00","A bill to adjust the boundary of the Kennesaw Mountain National Battlefield Park to include the Wallis House and Harriston Hill, and for other purposes.","False","False",116,"Kennesaw Mountain National Battlefield Park Boundary Adjustment Act","Public Lands and Natural Resources","s","s0087-116"
"s88-116","2019-01-10 00:01:00","A bill to redesignate Ocmulgee National Monument in the State of Georgia and revise its boundary, and for other purposes.","False","False",116,"Ocmulgee Mounds National Historical Park Boundary Revision Act","Public Lands and Natural Resources","s","s0088-116"
"s89-116","2019-01-10 00:01:00","A bill to expand the boundary of Fort Frederica National Monument in the State of Georgia, and for other purposes.","False","False",116,"Fort Frederica National Monument Boundary Expansion Act","Public Lands and Natural Resources","s","s0089-116"
"s90-116","2019-01-10 00:01:00","A bill to limit the establishment or extension of national monuments in the State of Utah.","False","False",116,"Protect Utah's Rural Economy Act","Public Lands and Natural Resources","s","s0090-116"
"s91-116","2019-01-10 00:01:00","A bill to amend title 38, United States Code, to authorize per diem payments under comprehensive service programs for homeless veterans to furnish care to dependents of homeless veterans, and for other purposes.","False","False",116,"Creating a Reliable Environment for Veterans' Dependents Act of 2019","Armed Forces and National Security","s","s0091-116"
"s92-116","2019-01-10 00:01:00","A bill to amend chapter 8 of title 5, United States Code, to provide that major rules of the executive branch shall have no force or effect unless a joint resolution of approval is enacted into law.","False","False",116,"Regulations from the Executive in Need of Scrutiny Act of 2019","Government Operations and Politics","s","s0092-116"
"s95-116","2019-01-10 00:01:00","A bill to amend the Public Health Service Act to designate certain medical facilities of the Department of Veterans Affairs as health professional shortage areas, and for other purposes.","False","False",116,"Veterans Access to Care Act","Health","s","s0095-116"
"s96-116","2019-01-10 00:01:00","A bill to revise the authorized route of the North Country National Scenic Trail in northeastern Minnesota and to extend the trail into Vermont to connect with the Appalachian National Scenic Trail, and for other purposes.","False","False",116,"North Country National Scenic Trail Route Adjustment Act","Public Lands and Natural Resources","s","s0096-116"
"s97-116","2019-01-10 00:01:00","A bill to amend the Federal Food, Drug, and Cosmetic Act to allow for the importation of affordable and safe drugs by wholesale distributors, pharmacies, and individuals.","False","False",116,"Affordable and Safe Prescription Drug Importation Act","Health","s","s0097-116"
"s98-116","2019-01-10 00:01:00","A bill to authorize the President to award the Medal of Honor to James Megellas, formerly of Fond du Lac, Wisconsin, and currently of Colleyville, Texas, for acts of valor on January 28, 1945, during the Battle of the Bulge in World War II.","False","False",116,"A bill to authorize the President to award the Medal of Honor to James Megellas, formerly of Fond du Lac, Wisconsin, and currently of Colleyville, Texas, for acts of valor on January 28, 1945, during the Battle of the Bulge in World War II.","","s","s0098-116"
"s99-116","2019-01-10 00:01:00","A bill to amend title XVIII of the Social Security Act to provide for the negotiation of lower covered part D drug prices on behalf of Medicare beneficiaries and the establishment and application of a formulary by the Secretary of Health and Human Services under Medicare part D, and for other purposes.","False","False",116,"Medicare Drug Price Negotiation Act","Health","s","s0099-116"
"s100-116","2019-01-10 00:01:00","A bill to direct the Secretary of Agriculture to transfer certain National Forest System land to Custer County, South Dakota.","False","False",116,"Custer County Airport Conveyance Act","Public Lands and Natural Resources","s","s0100-116"
"s101-116","2019-01-10 00:01:00","A bill to clarify the boundary of Acadia National Park, and for other purposes.","False","False",116,"Acadia National Park Boundary Clarification Act","Public Lands and Natural Resources","s","s0101-116"
"s102-116","2019-01-10 00:01:00","A bill to significantly lower prescription drug prices for patients in the United States by ending government-granted monopolies for manufacturers who charge drug prices that are higher than the median prices at which the drugs are available in other countries.","False","False",116,"Prescription Drug Price Relief Act of 2019","Health","s","s0102-116"
"s103-116","2019-01-10 00:01:00","A bill to authorize an additional district judgeship for the district of Idaho.","False","False",116,"A bill to authorize an additional district judgeship for the district of Idaho.","Law","s","s0103-116"
"s104-116","2019-01-10 00:01:00","A bill to amend title 31, United States Code, to provide for automatic continuing resolutions.","False","False",116,"End Government Shutdowns Act","Economics and Public Finance","s","s0104-116"
"s105-116","2019-01-10 00:01:00","A bill to amend title X of the Public Health Service Act to prohibit family planning grants from being awarded to any entity that performs abortions, and for other purposes.","False","False",116,"Title X Abortion Provider Prohibition Act","Health","s","s0105-116"
"s106-116","2019-01-10 00:01:00","A bill to reauthorize and extend funding for community health centers and the National Health Service Corps.","False","False",116,"Community Health Investment, Modernization, and Excellence Act of 2019","Health","s","s0106-116"
"s107-116","2019-01-10 00:01:00","A bill to provide any State with a child welfare demonstration project that is scheduled to terminate at the end of fiscal year 2019 the option to extend the project for up to 2 additional years.","False","False",116,"State Flexibility for Family First Transitions Act","Social Welfare","s","s0107-116"
