_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
hr251-116,2019-01-04 00:01:00,"To extend by two years the Chemical Facility Anti-Terrorism Standards Program of the Department of Homeland Security, and for other purposes.",True,True,116,Chemical Facility Anti-Terrorism Standards Program Extension Act,Emergency Management,hr
hr252-116,2019-01-04 00:01:00,"To promote conservation, improve public land management, and provide for sensible development in Pershing County, Nevada, and for other purposes.",False,False,116,Pershing County Economic Development and Conservation Act,Public Lands and Natural Resources,hr
hr253-116,2019-01-04 00:01:00,"To modify the process of the Secretary of the Interior for examining certain mining claims on Federal lands in Storey County, Nevada, to facilitate certain pinyon-juniper-related projects in Lincoln County, Nevada, to modify the boundaries of certain wilderness areas in the State of Nevada, to fully implement the White Pine County Conservation, Recreation, and Development Act, and for other purposes.",False,False,116,Nevada Lands Bill Technical Corrections Act of 2019,Public Lands and Natural Resources,hr
hr254-116,2019-01-04 00:01:00,"To make technical amendments to chapter 3084 of title 54, United States Code, to correct references to the African American Civil Rights Network, and for other purposes.",False,False,116,"To make technical amendments to chapter 3084 of title 54, United States Code, to correct references to the African American Civil Rights Network, and for other purposes.",Public Lands and Natural Resources,hr
hr255-116,2019-01-04 00:01:00,"To provide for an exchange of lands with San Bernardino County, California, to enhance management of lands within the San Bernardino National Forest, and for other purposes.",False,False,116,Big Bear Land Exchange Act,Public Lands and Natural Resources,hr
hr256-116,2019-01-04 00:01:00,"To allow the Secretary of the Treasury to accept public donations to fund the construction of a barrier on the U.S.-Mexico border, and for other purposes.",False,False,116,People's Border Wall Fund Act,Immigration,hr
hr257-116,2019-01-04 00:01:00,"To amend the Internal Revenue Code of 1986 to repeal the limitation on deduction for State and local taxes, and for other purposes.",False,False,116,SALT Fairness Act of 2019,Taxation,hr
hr258-116,2019-01-04 00:01:00,"To authorize the Secretary of the Interior to establish fees for medical services provided in units of the National Park System, and for other purposes.",False,False,116,"To authorize the Secretary of the Interior to establish fees for medical services provided in units of the National Park System, and for other purposes.",Public Lands and Natural Resources,hr
hr259-116,2019-01-04 00:01:00,"To extend the Medicaid Money Follows the Person Rebalancing demonstration, to extend protection for Medicaid recipients of home and community-based services against spousal impoverishment, and for other purposes.",True,True,116,Medicaid Extenders Act of 2019,Health,hr
hr260-116,2019-01-04 00:01:00,"To extend the Medicaid Money Follows the Person Rebalancing demonstration, to extend protection for Medicaid recipients of home and community-based services against spousal impoverishment, to extend the Temporary Assistance for Needy Families program, and for other purposes.",False,False,116,Medicaid Provisions and TANF Extenders Act of 2019,Health,hr
