_active,_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
False,hr2710-116,2019-01-14 00:05:00,To amend title XVIII of the Social Security Act to improve access to innovative new medical devices furnished to individuals with end stage renal disease under part B of the Medicare program by establishing a new device add-on payment adjustment under such part.,False,False,116,Patient Access to ESRD New Innovative Devices Act,Health,hr
True,hr2711-116,2019-01-14 00:05:00,"To amend the Federal Oil and Gas Royalty Management Act of 1982 (30 U.S.C. 1701 et seq.) to require the Secretary of the Interior to issue regulations to reduce and prevent gas waste and to enhance gas measuring and reporting, to codify a final rule of the Environmental Protection Agency regarding certain emission standards for the oil and natural gas sector, and for other purposes.",False,False,116,Methane Waste Prevention Act of 2019,Energy,hr
False,hr2712-116,2019-01-14 00:05:00,"To require that purchases of agricultural commodities made by the Secretary of Agriculture under the Food Purchase and Distribution Program be from domestically owned enterprises, and for other purposes.",False,False,116,Buy American Agriculture Act,Agriculture and Food,hr
False,hr2713-116,2019-01-14 00:05:00,"To prohibit the issuance of F or J visas to researchers affiliated with the Chinese People's Liberation Army, and for other purposes.",False,False,116,People's Liberation Army (PLA) Visa Security Act,Immigration,hr
False,hr2714-116,2019-01-14 00:05:00,"To amend the Internal Revenue Code of 1986 to provide for a credit against tax, or refund of tax, for certain Federal insurance taxes for employees who are members of religious faiths which oppose participation in such insurance.",False,False,116,AMISH Act,Taxation,hr
False,hr2715-116,2019-01-14 00:05:00,To amend title XI of the Social Security Act to provide for State approval and implementation of specified waivers under the Medicaid program.,False,False,116,Medicaid Improvement and State Flexibility Act of 2019,Health,hr
False,hr2716-116,2019-01-14 00:05:00,To amend the Internal Revenue Code of 1986 to not apply changes under Public Law 115-97 pertaining to the kiddie tax to children receiving certain military survivor benefits.,False,False,116,Protecting Gold Star Children Act of 2019,,hr
False,hr2717-116,2019-01-14 00:05:00,"To authorize the Secretary of the Interior to convey to the San Felipe Pueblo certain Federal land in Sandoval County, New Mexico, and for other purposes.",False,False,116,"To authorize the Secretary of the Interior to convey to the San Felipe Pueblo certain Federal land in Sandoval County, New Mexico, and for other purposes.",Public Lands and Natural Resources,hr
False,hr2718-116,2019-01-14 00:05:00,To amend the Internal Revenue Code of 1986 to include green infrastructure bonds in the definition of qualified private activity bonds.,False,False,116,P3 Act,Taxation,hr
False,hr2719-116,2019-01-14 00:05:00,To provide for the issuance of a Stamp Out Elder Abuse Semipostal Stamp.,False,False,116,Stamp Out Elder Abuse Act of 2019,Government Operations and Politics,hr
False,hr2720-116,2019-01-14 00:05:00,"To provide for the overall health and well-being of young people, including the promotion of lifelong sexual health and healthy relationships, and for other purposes.",False,False,116,Real Education for Healthy Youth Act of 2019,Health,hr
False,hr2721-116,2019-01-14 00:05:00,"To establish a grant program within the Department of Labor to support the creation, implementation, and expansion of registered apprenticeship programs in cybersecurity.",False,False,116,Cyber Ready Workforce Act,Labor and Employment,hr
True,hr2722-116,2019-01-14 00:05:00,"To protect elections for public office by providing financial support and enhanced security for the infrastructure used to carry out such elections, and for other purposes.",True,False,116,SAFE Act,Government Operations and Politics,hr
False,hr2723-116,2019-01-14 00:05:00,"To amend title 49, United States Code, to establish a Multimodal Freight Funding Formula Program and a National Freight Infrastructure Competitive Grant Program to improve the efficiency and reliability of freight movement in the United States, and for other purposes.",False,False,116,National Multimodal and Sustainable Freight Infrastructure Act,Transportation and Public Works,hr
